otu	phylum
OTU633	Acidobacteria
OTU634	Proteobacteria
OTU635	Firmicutes
OTU636	Planctomycetes
OTU637	Actinobacteria
OTU638	Actinobacteria
OTU639	Chloroflexi
OTU640	Acidobacteria
OTU641	Proteobacteria
OTU642	Proteobacteria
OTU643	Actinobacteria
OTU644	Actinobacteria
OTU645	Acidobacteria
OTU646	
OTU647	Actinobacteria
OTU648	Proteobacteria
OTU649	Proteobacteria
OTU650	Actinobacteria
OTU651	Proteobacteria
OTU652	Actinobacteria
OTU653	Actinobacteria
OTU654	Chloroflexi
OTU655	Gemmatimonadetes
OTU656	Gemmatimonadetes
OTU657	Proteobacteria
OTU658	Chloroflexi
OTU659	Actinobacteria
OTU660	Actinobacteria
OTU661	Actinobacteria
OTU662	Proteobacteria
OTU663	Proteobacteria
OTU664	Actinobacteria
OTU665	Proteobacteria
OTU666	Proteobacteria
OTU667	Gemmatimonadetes
OTU668	Actinobacteria
OTU669	Proteobacteria
OTU670	Actinobacteria
OTU671	Chloroflexi
OTU672	Gemmatimonadetes
OTU673	Proteobacteria
OTU674	Proteobacteria
OTU675	Acidobacteria
OTU676	Actinobacteria
OTU677	Saccharibacteria
OTU678	Gemmatimonadetes
OTU679	Bacteroidetes
OTU680	Proteobacteria
OTU681	Actinobacteria
OTU682	Actinobacteria
OTU683	Actinobacteria
OTU684	Acidobacteria
OTU685	Bacteroidetes
OTU686	Proteobacteria
OTU687	Actinobacteria
OTU688	Proteobacteria
OTU689	Actinobacteria
OTU690	Chloroflexi
OTU691	Actinobacteria
OTU692	Firmicutes
OTU693	Proteobacteria
OTU694	Chloroflexi
OTU695	Actinobacteria
OTU696	Chloroflexi
OTU697	Proteobacteria
OTU698	Chloroflexi
OTU699	Proteobacteria
OTU700	Proteobacteria
OTU701	Euryarchaeota
OTU702	Acidobacteria
OTU703	Acidobacteria
OTU704	Proteobacteria
OTU705	Proteobacteria
OTU706	Proteobacteria
OTU707	Proteobacteria
OTU708	Proteobacteria
OTU709	Chloroflexi
OTU710	Actinobacteria
OTU711	Proteobacteria
OTU712	Actinobacteria
OTU713	Chloroflexi
OTU714	Thaumarchaeota
OTU715	Actinobacteria
OTU716	Actinobacteria
OTU717	Proteobacteria
OTU718	Chloroflexi
OTU719	Proteobacteria
OTU720	Actinobacteria
OTU721	Proteobacteria
OTU722	Chloroflexi
OTU723	Gemmatimonadetes
OTU724	Acidobacteria
OTU725	Chloroflexi
OTU726	Acidobacteria
OTU727	Acidobacteria
OTU728	Proteobacteria
OTU729	Proteobacteria
OTU730	Firmicutes
OTU731	Proteobacteria
OTU732	Firmicutes
OTU733	Gemmatimonadetes
OTU734	Proteobacteria
OTU735	Chloroflexi
OTU736	Proteobacteria
OTU737	Chloroflexi
OTU738	Chloroflexi
OTU739	Actinobacteria
OTU740	Chloroflexi
OTU741	Acidobacteria
OTU742	Chloroflexi
OTU743	Acidobacteria
OTU744	Acidobacteria
OTU745	Proteobacteria
OTU746	Acidobacteria
OTU747	Chloroflexi
OTU748	Saccharibacteria
OTU749	Actinobacteria
OTU750	Bacteroidetes
OTU751	Actinobacteria
OTU752	Firmicutes
OTU753	Proteobacteria
OTU754	Proteobacteria
OTU755	Proteobacteria
OTU756	Chloroflexi
OTU757	Actinobacteria
